Cxt gtf location,contig,interval ,Gene symbol
gene5971,tig00005332_CDS_49597_50450,,FAM50A
gene5974,tig00005336_CDS_25388_26368,,SEC13
gene5979,tig00005339_CDS_13107_13389,,CHEK1
gene5980,tig00005341_CDS_51755_53335,,STK39
gene5983,tig00005346_CDS_86531_86698,,CDK5R1
gene5986,tig00005348_CDS_75037_76359,,EIF2AK1
gene5990,tig00005352_CDS_42345_45302,,DIAPH1
gene5992,tig00005352_CDS_75001_76011,,SKI
gene5993,tig00005354_CDS_70188_71101,,FICD
gene5995,tig00005357_CDS_37215_38012,,FOXRED1
gene5996,tig00005358_CDS_3384_5822,,Aats-ile
gene5998,tig00005360_CDS_55125_55343,,MAP2K3
gene6000,tig00005360_CDS_76650_76832,,EXOSC1
gene6002,tig00005361_CDS_24577_24712,,RPL37
gene6008,tig00005368_CDS_17159_17382,,RPL31
gene6009,tig00005368_CDS_23264_24241,,UROD
gene6010,tig00005369_CDS_46334_46864,,FAM126B
gene6025,tig00005382_CDS_48897_49397,,RAC1
gene6026,tig00005382_CDS_57542_58069,,CDC42
gene6030,tig00005383_CDS_71910_74063,,ELMO3
gene6033,tig00005388_CDS_86975_88144,,CLP1
gene6055,tig00005410_CDS_51795_52055,,SSR4
gene6057,tig00005412_CDS_62367_62654,,ENAH
gene6061,tig00005420_CDS_16498_17169,,RAB23
gene6064,tig00005428_CDS_51394_52656,,PTCD3
gene6065,tig00005433_CDS_41636_42694,,NR5A2
gene6066,tig00005434_CDS_21927_22895,,NMD3
gene6070,tig00005437_CDS_48585_49106,,CHAC1
gene6072,tig00005438_CDS_55335_55471,,IMP3
gene6074,tig00005440_CDS_3918_4391,,mad2
gene6078,tig00005441_CDS_12823_13341,,CYB561D2
gene6081,tig00005443_CDS_67540_69456,,SRPK2
gene6083,tig00005447_CDS_12309_13211,,MPI
gene6087,tig00005449_CDS_33687_34889,,NSRP1
gene6088,tig00005449_CDS_40075_41040,,NDUFA10
gene6097,tig00005464_CDS_26564_27175,,TM2D3
gene6098,tig00005466_CDS_10804_10998,,SHOX2
gene6099,tig00005471_CDS_15869_15982,,ADCY3
gene6101,tig00005475_CDS_10569_10823,,Br-c
gene6104,tig00005481_CDS_11305_11440,,BIN2
gene6106,tig00005482_CDS_46738_47256,,CYB561D2
gene6115,tig00005499_CDS_13654_14977,,CYP3A4
gene6117,tig00005500_CDS_16362_17213,,PIGV
gene6118,tig00005500_CDS_29167_29922,,PIGV
gene6119,tig00005500_CDS_49685_50236,,BLMH
gene6122,tig00005505_CDS_95376_95777,,HIST1H1A
gene6126,tig00005513_CDS_38157_38870,,NUP37
gene6128,tig00005513_CDS_43377_43772,,RBMX2
gene6131,tig00005515_CDS_61160_62185,,CTU1
gene6132,tig00005516_CDS_9540_10403,,SURF6
gene6148,tig00005548_CDS_38061_38315,,Osi21
gene6149,tig00005550_CDS_53787_54083,,IFT52
gene6151,tig00005552_CDS_68644_68960,,TSR3
gene6153,tig00005552_CDS_73481_73920,,TRMT1
gene6155,tig00005552_CDS_98108_98596,,SRSF2
gene6158,tig00005555_CDS_20928_21108,,SLC30A7
gene6156,tig00005555_CDS_2140_3366,,VMP1
gene6159,tig00005555_CDS_40962_41981,,NANS
gene6164,tig00005559_CDS_65094_65250,,KCNJ11
gene6169,tig00005568_CDS_10861_10991,,EDEM3
gene6173,tig00005569_CDS_39273_39647,,NDUFA6
gene6181,tig00005581_CDS_12886_15430,,CHAF1A
gene6201,tig00005610_CDS_2999_3262,,CYCS
gene6204,tig00005613_CDS_28619_28751,,LHFPL5
gene6205,tig00005613_CDS_54908_55291,,SCRB3
gene6210,tig00005614_CDS_33727_34332,,DDX24-1
gene6211,tig00005616_CDS_2629_2898,,NASP
gene6216,tig00005617_CDS_27361_28433,,exc-7
gene6218,tig00005617_CDS_72083_73195,,WRAP53
gene6227,tig00005625_CDS_33465_33845,,TRIO
gene6232,tig00005633_CDS_33969_34458,,TDRKH
gene6245,tig00005663_CDS_50939_52621,,DDX52
gene6246,tig00005663_CDS_57387_59312,,SPG7
gene6251,tig00005675_CDS_16326_21098,,ZFYVE26
gene6252,tig00005675_CDS_27227_27787,,ZFYVE26
gene6254,tig00005676_CDS_2033_2197,,TXN2
gene6257,tig00005677_CDS_37077_37604,,CCAR1
gene6258,tig00005677_CDS_51226_51675,,R2D2
gene6259,tig00005677_CDS_57587_57769,,RNGTT
gene6273,tig00005694_CDS_54185_56065,,RPN2
gene6274,tig00005697_CDS_11404_11703,,TVP23B
gene6275,tig00005697_CDS_39039_39177,,PSMC3
gene6292,tig00005728_CDS_14949_15323,,CUTA
gene6299,tig00005731_CDS_23985_24122,,MND1
gene6300,tig00005731_CDS_25005_25511,,ZNHIT1
gene6306,tig00005741_CDS_31744_32925,,GNL1
gene6309,tig00005741_CDS_61871_62365,,RPS5
gene6311,tig00005755_CDS_11611_12090,,RPL18
gene6312,tig00005755_CDS_16624_17409,,GK5
gene6313,tig00005755_CDS_19412_19873,,GK5
gene6323,tig00005759_CDS_33607_34387,,spn-F
gene6333,tig00005777_CDS_4165_4569,,CLIPA3
gene6336,tig00005779_CDS_53330_53581,,DMD
gene6337,tig00005785_CDS_13315_13613,,NEDD4
gene6338,tig00005785_CDS_30987_32570,,dy
gene6348,tig00005793_CDS_57774_58469,,enol-1
gene6359,tig00005809_CDS_66327_66882,,FZD7
gene6371,tig00005843_CDS_14690_15709,,GTF3A
gene6372,tig00005843_CDS_23086_23350,,RPLP2
gene6377,tig00005846_CDS_437_1219,,GNBPB1
gene6391,tig00005872_CDS_26639_27616,,MOV10
gene6389,tig00005872_CDS_642_1481,,RWDD2B
gene6396,tig00005900_CDS_9098_9412,,Ance-3
gene6406,tig00005932_CDS_10409_10549,,FKBP8
gene6408,tig00005932_CDS_25736_26020,,ARMC6
gene6417,tig00005972_CDS_43463_43799,,DST
gene6428,tig00006006_CDS_58574_59593,,OCA2
gene6445,tig00006080_CDS_13173_13655,,TYSND1
gene6450,tig00006081_CDS_25771_26103,,UBE3C
gene6464,tig00006197_CDS_40867_44064,,USP34
gene6465,tig00006202_CDS_44871_44981,,KCNIP4
gene6469,tig00006214_CDS_26342_26665,,HIGD2A
gene6470,tig00006214_CDS_27139_27279,,RPP40
gene6476,tig00006295_CDS_24064_24433,,OSGEPL1
gene6479,tig00006296_CDS_69483_69875,,TRIM67
gene6481,tig00006302_CDS_60783_61673,,EBNA1BP2
gene6482,tig00006308_CDS_1286_2464,,SLC25A37
gene6490,tig00006313_CDS_39901_40578,,CAPN1
gene6494,tig00006316_CDS_12120_12879,,EZH1
gene6495,tig00006316_CDS_66630_66810,,ARHGDIA
gene6496,tig00006316_CDS_91968_92372,,GPI
gene6499,tig00006319_CDS_29453_30023,,OPN4
gene6500,tig00006319_CDS_31488_32362,,OPN4
gene6502,tig00006319_CDS_67884_68474,,SPRTN
gene6509,tig00006328_CDS_89607_93026,,MYO7A
gene6510,tig00006329_CDS_1088_1177,,CNOT7
gene6521,tig00006342_CDS_22261_22827,,TSPAN6
gene6523,tig00006348_CDS_2439_2612,,GRIN2B
gene6525,tig00006348_CDS_31059_31619,,ERCC1
gene6527,tig00006349_CDS_24915_27644,,KDM4B
gene6528,tig00006349_CDS_39553_39693,,KDM4B
gene6532,tig00006352_CDS_4192_4437,,Ppib
gene6540,tig00006358_CDS_86615_87142,,SUN1
gene6543,tig00006362_CDS_51627_52756,,Hr39
gene6544,tig00006366_CDS_15130_15959,,PRTG
gene6553,tig00006368_CDS_38819_39111,,His4r
gene6568,tig00006389_CDS_65621_65842,,chinmo
gene6570,tig00006396_CDS_21355_21768,,CA2
gene6571,tig00006398_CDS_13740_14342,,SLX1A
gene6572,tig00006398_CDS_32545_32733,,SLX1A
gene6574,tig00006403_CDS_4619_5032,,CMTM4
gene6575,tig00006403_CDS_52292_53353,,CAMKMT
gene6580,tig00006404_CDS_23716_24168,,Sod
gene6581,tig00006404_CDS_24551_24811,,Sod
gene6582,tig00006404_CDS_36741_38600,,DDX41
gene6587,tig00006409_CDS_27936_28091,,CISD2
gene6590,tig00006410_CDS_35881_38109,,FANCM
gene6601,tig00006419_CDS_6287_7687,,PRKCSH
gene6604,tig00006428_CDS_20111_21120,,LRP5
gene6607,tig00006431_CDS_13950_14882,,SH3BP5
gene6613,tig00006435_CDS_32604_32975,,NRXN2
gene6614,tig00006438_CDS_8428_9207,,UTP23
gene6619,tig00006442_CDS_74824_75522,,O-fut1
gene6620,tig00006444_CDS_10531_11609,,FUT8
gene6622,tig00006445_CDS_179_1150,,TADA3
gene6624,tig00006445_CDS_45441_45650,,TCEB1
gene6626,tig00006449_CDS_2402_3199,,FOXRED1
gene6642,tig00006454_CDS_59554_59777,,DGCR6
gene6648,tig00006459_CDS_10033_10269,,Tdc2
gene6649,tig00006459_CDS_46937_47214,,RPP25L
gene6650,tig00006462_CDS_36408_37115,,PACS1
gene6651,tig00006466_CDS_5183_5659,,BTF3L4
gene6664,tig00006479_CDS_66001_66459,,PITPNM2
gene6668,tig00006482_CDS_28962_29279,,SYS1
gene6671,tig00006487_CDS_34800_35597,,PLS1
gene6678,tig00006489_CDS_32734_33063,,GPCPD1
gene6679,tig00006489_CDS_59142_59504,,MEGF8
gene6681,tig00006495_CDS_34835_35179,,Obp28a
gene6685,tig00006501_CDS_38889_39830,,HMCES
gene6687,tig00006502_CDS_1620_1976,,NUDT3
gene6688,tig00006503_CDS_15342_15602,,PTDSS1
gene6694,tig00006514_CDS_3116_3678,,dnr1
gene6695,tig00006517_CDS_54268_54657,,Osi8
gene6697,tig00006523_CDS_39545_40566,,unc-54
gene6698,tig00006523_CDS_60859_61065,,unc-54
gene6716,tig00006553_CDS_27106_27358,,C1orf123
gene6721,tig00006558_CDS_5202_6836,,VPS53
gene6723,tig00006560_CDS_24749_26324,,ONECUT2
gene6724,tig00006561_CDS_24374_26257,,Cp190
gene6726,tig00006568_CDS_14424_14921,,SURF4
gene6730,tig00006574_CDS_12214_12410,,ESPN
gene6738,tig00006576_CDS_12998_13402,,HIST2H3A
gene6731,tig00006576_CDS_406_698,,His4r
gene6734,tig00006576_CDS_7019_7311,,His4r
gene6746,tig00006585_CDS_56487_57909,,EGR1
gene6749,tig00006589_CDS_27160_27402,,RPL13
gene6750,tig00006589_CDS_48110_49654,,NMT1
gene6754,tig00006593_CDS_10973_11242,,TCEB2
gene6758,tig00006603_CDS_12313_12737,,FEZ2
gene6759,tig00006605_CDS_9229_9402,,AMY2A
gene6764,tig00006619_CDS_1459_2370,,PQLC1
gene6765,tig00006623_CDS_17046_17579,,MYO1H
gene6766,tig00006623_CDS_29244_31004,,MYO1H
gene6770,tig00006628_CDS_40779_42602,,ALAS1
gene6784,tig00006646_CDS_20611_20847,,IPMK
gene6785,tig00006646_CDS_29409_29945,,HADH
gene6786,tig00006646_CDS_36502_37317,,HADH
gene6787,tig00006648_CDS_11665_11813,,CNOT1
gene6788,tig00006649_CDS_16474_18918,,SENP6
gene6791,tig00006651_CDS_17539_19473,,RASA2
gene6793,tig00006656_CDS_68104_69423,,UBXN6
gene6795,tig00006658_CDS_153_278,,MGST1
gene6804,tig00006687_CDS_33044_33314,,POLE3
gene6806,tig00006689_CDS_38404_38898,,HIST1H1A
gene6814,tig00006703_CDS_15543_17364,,WDR35
gene6815,tig00006703_CDS_46087_46176,,YPEL2
gene6819,tig00006707_CDS_15429_15551,,NATD1
gene6820,tig00006707_CDS_16083_20060,,TTC21B
gene6823,tig00006713_CDS_16568_16993,,nhr-239
gene6835,tig00006726_CDS_39471_39834,,NR2C1
gene6837,tig00006734_CDS_52377_53171,,C6orf211
gene6839,tig00006737_CDS_53411_54316,,LYAR
gene6840,tig00006737_CDS_54634_55007,,GFER
gene6841,tig00006738_CDS_10223_11431,,RASSF2
gene6849,tig00006745_CDS_53036_53194,,ACSF2
gene6850,tig00006745_CDS_74657_76042,,ACSF2
gene6855,tig00006753_CDS_13057_13338,,Indy-2
gene6856,tig00006753_CDS_35036_35311,,Indy-2
gene6866,tig00006762_CDS_13581_13865,,pain
gene6865,tig00006762_CDS_1824_4622,,pain
gene6867,tig00006764_CDS_3673_4791,,KCND3
gene6870,tig00006797_CDS_41595_41750,,CYP307A1
gene6876,tig00006808_CDS_56461_57978,,TSC22D2
gene6878,tig00006809_CDS_14458_14694,,PCBD2
gene6903,tig00006856_CDS_10193_10995,,NCAPG
gene6904,tig00006856_CDS_24692_25064,,C9orf114
gene6905,tig00006856_CDS_26096_26368,,MZT1
gene6902,tig00006856_CDS_4131_4466,,MBOAT1
gene6911,tig00006868_CDS_24405_25184,,MAB21L1
gene6914,tig00006870_CDS_12029_12313,,LBR
gene6915,tig00006870_CDS_24870_26732,,LBR
gene6916,tig00006871_CDS_4915_5079,,ifi30
gene6927,tig00006887_CDS_1_639,,ABCC4
gene6930,tig00006887_CDS_32452_34239,,WDR46
gene6945,tig00006924_CDS_16216_17701,,REV1
gene6953,tig00006932_CDS_64430_64612,,NETO2
gene6959,tig00006952_CDS_26722_26984,,PUF60
gene6963,tig00006959_CDS_51029_51199,,WDFY2
gene6966,tig00006995_CDS_3862_4413,,ALG14
gene6969,tig00007000_CDS_28919_29313,,STAG2
gene6971,tig00007020_CDS_26391_26693,,CCNB2
gene6972,tig00007031_CDS_2_613,,NPRL2
gene6980,tig00007054_CDS_53753_53902,,CMTM4
gene6981,tig00007062_CDS_25417_25621,,NOVA1
gene6983,tig00007075_CDS_27227_27490,,hmr-1
gene6987,tig00007106_CDS_552_1001,,ARHGAP21
gene6992,tig00007108_CDS_1697_1906,,NCK2
gene6993,tig00007108_CDS_20660_20809,,RpS27A
gene6994,tig00007108_CDS_28725_29504,,NSA2
gene6995,tig00007108_CDS_45792_46646,,CCNK
gene6996,tig00007108_CDS_51599_51735,,WDR7
gene6998,tig00007114_CDS_17024_17605,,NAV2
gene7003,tig00007144_CDS_10616_12450,,IL16
gene7004,tig00007148_CDS_44881_45288,,NLG-1
gene7006,tig00007166_CDS_47464_47799,,nAChRa2
gene7013,tig00007191_CDS_22053_22470,,SET
gene7015,tig00007191_CDS_36851_38110,,LRR1
gene7028,tig00007227_CDS_15836_16825,,FLM
gene7031,tig00007230_CDS_63572_63928,,SREBF2
gene7042,tig00007311_CDS_35112_35910,,TNKS2
gene7043,tig00007311_CDS_59316_60373,,SPG20
gene7046,tig00007312_CDS_38360_39025,,trrap
gene7057,tig00007424_CDS_53974_54098,,DCAF7
gene7061,tig00007508_CDS_10493_11091,,Cht3
gene7065,tig00007509_CDS_22622_23905,,KIF18A
gene7066,tig00007509_CDS_32849_33045,,DBR1
gene7067,tig00007509_CDS_48364_49305,,SLC25A19
gene7068,tig00007509_CDS_53477_54208,,ADO
gene7070,tig00007513_CDS_10282_10600,,rga-5
gene7072,tig00007518_CDS_14252_15855,,HERC4
gene7085,tig00007527_CDS_1820_2008,,TAX1BP3
gene7089,tig00007528_CDS_22659_23171,,RPS2
gene7092,tig00007529_CDS_37530_38453,,ULK3
gene7094,tig00007530_CDS_14464_14695,,cac
gene7099,tig00007533_CDS_63382_64506,,HTATSF1
gene7115,tig00007548_CDS_23666_24088,,runt
gene7120,tig00007559_CDS_2754_3101,,VAMP2
gene7121,tig00007561_CDS_10082_10480,,DDX51
gene7131,tig00007567_CDS_49806_49927,,CLNS1A
gene7142,tig00007581_CDS_31015_31867,,tim
gene7145,tig00007585_CDS_18791_20357,,TTLL4
gene7149,tig00007597_CDS_44089_44871,,COPB2
gene7151,tig00007599_CDS_2126_3529,,NEDD1
gene7157,tig00007603_CDS_3941_4144,,DNAJC15
gene7170,tig00007611_CDS_33557_33817,,DPH3
gene7171,tig00007611_CDS_34206_34637,,DLGAP5
gene7181,tig00007617_CDS_50641_51135,,HIST1H1A
gene7185,tig00007618_CDS_33482_34335,,ZRANB1
gene7197,tig00007637_CDS_1508_2161,,METTL16
gene7198,tig00007637_CDS_37435_37574,,MAPKAPK3
gene7199,tig00007638_CDS_28128_30032,,SMG1
gene7204,tig00007651_CDS_17361_17735,,ALDH3A2
gene7218,tig00007665_CDS_41462_41905,,RWDD1
gene7215,tig00007665_CDS_4542_4745,,MRPL27
gene7221,tig00007669_CDS_56382_57029,,RPAP1
gene7223,tig00007676_CDS_14076_15320,,KNTC1
gene7225,tig00007677_CDS_107_520,,SCYL1
gene7226,tig00007677_CDS_25643_25935,,AMMECR1L
gene7227,tig00007677_CDS_54520_55332,,TAT
gene7232,tig00007685_CDS_2901_3749,,SPRTN
gene7234,tig00007685_CDS_48658_48906,,OPN4
gene7235,tig00007685_CDS_50556_50960,,OPN4
gene7236,tig00007686_CDS_1335_1790,,glipr2
gene7238,tig00007691_CDS_32071_33603,,RFWD3
gene7239,tig00007692_CDS_1412_1624,,TSPO
gene7246,tig00007696_CDS_44347_46455,,PCM1
gene7247,tig00007696_CDS_52688_55330,,PCM1
gene7251,tig00007698_CDS_12298_12993,,PDCL3
gene7252,tig00007698_CDS_18640_18951,,ENSA
gene7254,tig00007701_CDS_14857_15117,,FAM117B
gene7258,tig00007706_CDS_32193_32595,,C1orf43
gene7260,tig00007711_CDS_2092_2862,,POLD2
gene7270,tig00007721_CDS_25902_26030,,MICU1
gene7278,tig00007738_CDS_19300_19614,,jun
gene7283,tig00007743_CDS_9091_10266,,NT1
gene7298,tig00007751_CDS_65259_66962,,LMNB1
gene7300,tig00007755_CDS_8179_8499,,CHRNA7
gene7302,tig00007756_CDS_34828_35131,,PDHA1
gene7303,tig00007756_CDS_45016_45188,,ARL1
gene7311,tig00007760_CDS_16646_18107,,UNC13C
gene7314,tig00007766_CDS_38232_38573,,VKORC1L1
gene7315,tig00007766_CDS_40286_40610,,SLC35E1
gene7317,tig00007769_CDS_242_1558,,FOXA1
gene7319,tig00007773_CDS_34928_36424,,FRS2
gene7323,tig00007775_CDS_38439_38663,,MIF4GD
gene7326,tig00007779_CDS_26695_27129,,fusl
gene7328,tig00007780_CDS_62792_63649,,FBXL16
gene7331,tig00007787_CDS_35664_35895,,cac
gene7334,tig00007789_CDS_32979_33098,,GlcAT-P
gene7336,tig00007794_CDS_18657_19364,,GOT2
gene7343,tig00007796_CDS_46218_46763,,EFHC2
gene7365,tig00007808_CDS_60817_62316,,KDM2A
gene7367,tig00007810_CDS_25441_26844,,RNF144A
gene7372,tig00007815_CDS_20795_22362,,CYFIP1
gene7371,tig00007815_CDS_8792_10552,,CYFIP1
gene7376,tig00007820_CDS_26227_26451,,Sxl
gene7379,tig00007825_CDS_40327_41073,,Su(P)
gene7380,tig00007829_CDS_13431_13550,,ANAPC15
gene7384,tig00007831_CDS_22019_22282,,RpL5
gene7386,tig00007832_CDS_29219_32008,,EIF2AK3
gene7387,tig00007832_CDS_39825_40160,,MRPS33
gene7390,tig00007835_CDS_2866_3378,,cad
gene7391,tig00007838_CDS_26638_27708,,SRPN14
gene7399,tig00007848_CDS_48950_49087,,PMPCB
gene7402,tig00007859_CDS_30877_31219,,TNR
gene7408,tig00007862_CDS_13797_14429,,SNIP1
gene7412,tig00007869_CDS_2967_3587,,DHX9
gene7416,tig00007885_CDS_15305_17305,,TSC22D2
gene7422,tig00007890_CDS_38677_38865,,MYO7A
gene7423,tig00007894_CDS_75881_76120,,CCNK
gene7432,tig00007907_CDS_65878_66282,,MRPS6
gene7434,tig00007911_CDS_13949_14241,,FAM214A
gene7439,tig00007925_CDS_3295_4446,,PRKAA1
gene7442,tig00007928_CDS_14682_14810,,FK506-bp2
gene7445,tig00007930_CDS_5172_5783,,HEMK1
gene7449,tig00007933_CDS_39967_40554,,NAA10
gene7452,tig00007936_CDS_31425_32513,,OSER1
gene7462,tig00007942_CDS_35907_36131,,ADHFE1
gene7463,tig00007942_CDS_39847_40830,,Gp150
gene7464,tig00007943_CDS_15684_17717,,DOCK6
gene7470,tig00007956_CDS_26704_29736,,ARID1B
gene7473,tig00007961_CDS_48360_48656,,IFT52
gene7475,tig00007965_CDS_1911_3665,,PCM1
gene7476,tig00007966_CDS_55774_56364,,CDAN1
gene7477,tig00007973_CDS_39986_40861,,FRY
gene7485,tig00007986_CDS_28996_29148,,MTHFS
gene7489,tig00007997_CDS_25164_27350,,WDR26
gene7488,tig00007997_CDS_2861_3091,,TMED6
gene7491,tig00008001_CDS_27823_28106,,TOMM70A
gene7500,tig00008010_CDS_22017_22613,,HYAL1
gene7503,tig00008015_CDS_6860_7669,,GPRHIS
gene7505,tig00008020_CDS_14781_15705,,ACTB
gene7504,tig00008020_CDS_3292_4216,,ACTB
gene7506,tig00008020_CDS_41364_42288,,ACTB
gene7509,tig00008023_CDS_13247_13935,,IKBKB
gene7510,tig00008023_CDS_18022_18159,,TMEM242
gene7511,tig00008023_CDS_26805_28025,,SCYL3
gene7508,tig00008023_CDS_3960_4337,,RPS2
gene7512,tig00008024_CDS_12925_13302,,PebIII
gene7513,tig00008024_CDS_31710_32093,,PebIII
gene7514,tig00008024_CDS_48789_49175,,PebIII
gene7515,tig00008024_CDS_60467_60844,,PebIII
gene7516,tig00008025_CDS_32374_35161,,DNAH5
gene7517,tig00008029_CDS_30693_31019,,Eyg
gene7522,tig00008032_CDS_38411_38636,,GPN1
gene7524,tig00008033_CDS_62538_63400,,CCNY
gene7527,tig00008034_CDS_49187_50842,,ALAS1
gene7533,tig00008047_CDS_52897_53403,,SNF8
gene7543,tig00008057_CDS_23200_25317,,ASXL2
gene7547,tig00008065_CDS_1740_3476,,FBXO42
gene7552,tig00008090_CDS_31649_32767,,AHCY
gene7554,tig00008099_CDS_18881_20539,,CNOT10
gene7557,tig00008099_CDS_58266_60935,,GART
gene7563,tig00008110_CDS_17749_21753,,TOP2B
gene7568,tig00008115_CDS_30531_30854,,CYP301A1
gene7573,tig00008135_CDS_10456_10725,,RBM17
gene7580,tig00008168_CDS_6446_7754,,CYP3A4
gene7581,tig00008169_CDS_10740_10952,,UBR5
gene7583,tig00008173_CDS_32062_32970,,XRCC2
gene7596,tig00008180_CDS_36778_40588,,ANKRD50
gene7601,tig00008192_CDS_479_794,,mirr
gene7606,tig00008205_CDS_25170_25771,,DNAJC13
gene7604,tig00008205_CDS_286_591,,CDK5
gene7614,tig00008216_CDS_28786_30060,,NKAP
gene7615,tig00008216_CDS_35916_37508,,POLG
gene7618,tig00008231_CDS_16415_17522,,ENOX2
gene7619,tig00008231_CDS_49000_49270,,DPH1
gene7623,tig00008235_CDS_31403_31546,,TUBA3D
gene7626,tig00008235_CDS_57687_59069,,PSMC1
gene7627,tig00008235_CDS_62852_63091,,DYX1C1
gene7630,tig00008252_CDS_26303_26439,,IMP3
gene7639,tig00008262_CDS_28680_29399,,PIGW
gene7641,tig00008266_CDS_417_677,,LSAMP
gene7644,tig00008289_CDS_2402_2815,,PAFAH1B2
gene7653,tig00008302_CDS_1197_2126,,DOT1L
gene7655,tig00008308_CDS_19_1839,,PPP1R10
gene7659,tig00008310_CDS_81960_82694,,SYF2
gene7660,tig00008317_CDS_18829_19707,,MFI2
gene7661,tig00008317_CDS_38402_38676,,KLHDC10
gene7667,tig00008347_CDS_11413_11880,,SRP54
gene7668,tig00008351_CDS_27324_27623,,CHMP7
gene7669,tig00008351_CDS_36858_38702,,IDE
gene7675,tig00008360_CDS_28504_28783,,irk-2
gene7682,tig00008400_CDS_54192_54457,,SFSWAP
gene7693,tig00008429_CDS_32168_33001,,SLC35B3
gene7695,tig00008436_CDS_15252_15926,,N6AMT1
gene7696,tig00008436_CDS_20755_20903,,CDK1
gene7697,tig00008436_CDS_31218_31415,,MAPK10
gene7702,tig00008447_CDS_2632_3801,,MRPS9
gene7704,tig00008447_CDS_44785_44982,,ASAP1
gene7705,tig00008449_CDS_14760_15716,,RAD51D
gene7708,tig00008449_CDS_25424_25612,,SUGT1
gene7709,tig00008450_CDS_51151_51459,,IDI1
gene7710,tig00008452_CDS_2_1681,,XPO7
gene7711,tig00008452_CDS_8442_9401,,C7orf25
gene7712,tig00008454_CDS_11440_12538,,CCDC63
gene7715,tig00008463_CDS_42965_43666,,DUSP14
gene7719,tig00008468_CDS_60339_61934,,BAHD1
gene7720,tig00008490_CDS_13730_13912,,polr2a
gene7721,tig00008490_CDS_46167_46336,,ATAD1
gene7722,tig00008490_CDS_62811_64370,,NPEPL1
gene7726,tig00008492_CDS_45251_46090,,MAEL
gene7734,tig00008506_CDS_29270_29602,,XPO1
gene7737,tig00008514_CDS_14575_14847,,PNP
gene7739,tig00008521_CDS_36539_36745,,ING1
gene7741,tig00008524_CDS_16175_16390,,RAB43
gene7740,tig00008524_CDS_2_1988,,TNPO1
gene7758,tig00008592_CDS_12020_12748,,ASS1
gene7759,tig00008601_CDS_17481_19232,,FAM13A
gene7761,tig00008620_CDS_15571_17370,,MMS22L
gene7763,tig00008620_CDS_49055_49387,,RPL21
gene7767,tig00008627_CDS_21511_22644,,PRKAG2
gene7778,tig00008639_CDS_3176_3270,,MSTN
gene7781,tig00008640_CDS_35724_35939,,PDE6D
gene7795,tig00008675_CDS_40377_41051,,ALG14
gene7798,tig00008680_CDS_29687_30688,,ZC3H3
gene7803,tig00008696_CDS_15923_16264,,CDC45
gene7804,tig00008696_CDS_40719_41537,,PAK7
gene7807,tig00008702_CDS_11656_11968,,DNAI1
gene7816,tig00008767_CDS_10583_11395,,NMRK1
gene7821,tig00008784_CDS_118_648,,PRDM5
gene7822,tig00008784_CDS_15760_16388,,ZBTB11
gene7824,tig00008787_CDS_46256_46585,,Myo20
gene7826,tig00008799_CDS_19237_19542,,TXN
gene7831,tig00008817_CDS_28314_28489,,spi
gene7834,tig00008824_CDS_16164_18336,,PSAP
gene7833,tig00008824_CDS_3442_4221,,NME5
gene7850,tig00008886_CDS_18399_18523,,YKT6
gene7849,tig00008886_CDS_4857_5195,,TMEM38B
gene7860,tig00008917_CDS_23050_23298,,GNB2L1
gene7862,tig00008921_CDS_5558_5686,,BLOC1S2
gene7865,tig00008986_CDS_12425_14508,,EIF2AK4
gene7874,tig00009242_CDS_21932_22054,,ADI1
gene7876,tig00009245_CDS_29080_29310,,CA10
gene7886,tig00009251_CDS_15591_15688,,MPHOSPH6
gene7885,tig00009251_CDS_9054_11525,,NOC2L
gene7889,tig00009255_CDS_50442_51443,,EIF2D
gene7890,tig00009255_CDS_63899_64804,,TALDO1
gene7892,tig00009258_CDS_14371_14823,,DMRT2
gene7898,tig00009262_CDS_23806_23904,,TIMM8B
gene7906,tig00009267_CDS_35851_36027,,BCAP31
gene7907,tig00009273_CDS_18105_20060,,LDB2
gene7919,tig00009290_CDS_28783_29277,,PPAPDC2
gene7928,tig00009301_CDS_40108_40356,,OTUD6B
gene7930,tig00009302_CDS_36227_36377,,TIMM10
gene7932,tig00009304_CDS_30215_31342,,Pc
gene7933,tig00009305_CDS_23207_23527,,TSC22D4
gene7944,tig00009322_CDS_33963_34842,,MEIOB
gene7945,tig00009322_CDS_48886_49959,,DNAI2
gene7951,tig00009340_CDS_10588_10947,,cid
gene7952,tig00009341_CDS_17086_18108,,KIN
gene7953,tig00009343_CDS_10013_11221,,PRCC
gene7960,tig00009347_CDS_1355_1765,,SAMD8
gene7962,tig00009348_CDS_10564_10704,,TDP1
gene7968,tig00009365_CDS_26558_26774,,NIPAL1
gene7973,tig00009368_CDS_79259_79873,,RPAP1
gene7974,tig00009369_CDS_38457_38627,,PHF14
gene7975,tig00009369_CDS_44421_44690,,NMD3
gene7993,tig00009411_CDS_10972_11277,,Obp28a
gene7995,tig00009415_CDS_28417_29334,,SLC17A9
gene7996,tig00009417_CDS_12296_12435,,NUDT21
gene7997,tig00009417_CDS_25316_26203,,ENKUR
gene7998,tig00009417_CDS_35039_35527,,NEUROD6
gene8005,tig00009426_CDS_51637_52131,,RBM8A
gene8006,tig00009428_CDS_14513_14641,,RPL21
gene8010,tig00009436_CDS_24975_26330,,ZMPSTE24
